,Title,Locality,Building/Area,Price,Area,Number_of_Bedrooms,Number_of_Bathrooms,Description
1065,3 BHK Residential Apartment for rent in Dodda Nekkundi,Dodda Nekkundi,Apartment,10150,1300,3,3,"Located at domlur bangalore this comfortable 3 bhk semifurnished house which is priced at 10150 per bed with a security deposit of 25375 with a floor size of 1200 sqft this house features induction cooktop washing machine fridge sofa dining table and tv and more the house features three bathrooms book now and enjoy the comfort

Located at domlur bangalore this comfortable 3 bhk semifurnished house which is priced at 10150 per bed with a security deposit of 25375 with a floor size of 1200 sqft this house features induction cooktop washing machine fridge sofa dining table and tv and more the house features three bathrooms book now and enjoy the comfort"
1066,2 BHK Independent Builder Floor for rent in Murugeshpalya,Murugeshpalya,,21000,999,2,1,2bhk semi furnished house near kempfort mall murugeshpalya for more details call harsha
1067,1 BHK Independent Builder Floor for rent in Murugeshpalya,Murugeshpalya,,27000,1111,1,2,2bhk semi furnished house near pizza hutt murugeshpalya for more details call harsha
1068,3 BHK Residential Apartment for rent in Kalena Agrahara,Kalena Agrahara,Ajmera Green Acres,28000,1629,3,3,"A very good 3 bhk flat for rent in ajmera green acres, kalena agrahara, bangalore south. It is a superb property and offers an excellent view. The flat is semifurnished with multiple amenities and promises a comfortable stay. It is feng shui/vaastu compliant, which is considered to bring positive energy. Indeed, the society too has multiple facilities for enjoyment, such as club house/community center, fitness centre/gym, swimming pool and security personnel etc. It also has rain water harvesting system. It has a super built-Up area of 1629 sq. Ft. Other facilities include intercom facility, lift(S), park, visitor parking and water storage etc. It also has vitrified flooring. East facing. 1 covered parking. Power back up.
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
Full power backup is available.
Piped gas facility is available in the property."
1069,5 BHK Independent Builder Floor for rent in Sector 1 HSR Layout,Sector 1 HSR Layout,,150000,4000,5,5,5bhk fully furnished luxury pent house for rent in hsr layout with basic amenities.Suitable for families or company guest house.For more information contact horizon realtors
1070,3 BHK Residential Apartment for rent in Hennur Gardens,Hennur Gardens,Regency La Majada,35000,1800,3,3,"3 bhk beautiful flat available for rent in a new regency la majada society in hennur gardens with all amenities modular kitchen, 3 bedrooms with 3 bathrooms and 3 balconies higher floors available east facing"
1071,3 BHK Independent Builder Floor for rent in Nandini Layout,Nandini Layout,,25000,1700,3,3,"This is a 3bhk house which is available for rent in nandini layout.This is a east facing house with 3 bathrooms. This flat is on 1st floor with good view and vastu as well. Nandini layout is one of the good residential locality which has all kind of connectivities to all over banglore. Nandini layout bus stand is very close to this area. Sbi bank,atm are close by only.Presidency school,orford schools are also close by only."
1072,2 BHK Residential Apartment for rent in Hebbal,Hebbal,Arvind Sporcia,24000,1254,2,2,"2bhk plus study room premium flat is available for rent at arvind sporcia apartment at rachenahalli. The flat comes with 2 large bedrooms with attached bathroom and toilets,it is a semi furnished flat. Built up area 1254 sqft. Arvind sporcia feature top of the line amenities in a great neighborhood like, gated community with round the clock security,high speed elevators, exclusive childrens play area, party room and gym, swimming pool and club house with indoor games.
For more details and inspection contact hifi ventures."
1073,3 BHK Residential Apartment for rent in Rajaji Nagar,Rajaji Nagar,Brigade Gateway,64000,1640,3,3,"A beautiful 3 bhk flat for rent in rajaji nagar, bangalore west is available. This 1-5 year old property is on the 10th floor of 19 floors. It has 3 bathroom(s).
Spacious and thoughtfully designed, it has a super built-Up area of sq. Ft. The built-Up area is 1640 sq. Ft. The carpet area is 1312 sq. Ft. This is a furnished apartment with 2 balconies.
The flat is in a gated society.
It comes with a 3 wardrobe(s), 3 bed(s), 1 modular kitchen, 1 fridge(s), 3 ac(s), 3 geyser(s), 1 tv(s), 1 sofa(s), 1 dining table(s), 4 fan(s), 4 light(s), 1 stove(s), 1 washing machine(s), 1 water purifier(s), 1 dining table(s), 1 curtain(s), 1 chimney(s) and 1 exhaust fan(s).
 With vitrified flooring. This vaastu/feng shui compliant property has a 80 feet wide road in the front. It is a north facing apartment.
The society has features like club house/community center, fitness centre/gym, intercom facility, lift(s), piped-Gas, security personnel, swimming pool, park, visitor parking, water storage and security/fire alarm. It is also equipped with amenities like club house/community center, fitness centre/gym, security personnel, water softening plant, swimming pool, shopping centre and park. With full power back up, the society has other features like water softening plant and shopping centre. There is one covered parking. The rent of this property is rs. 64000/-. (Price negotiable) other than rent, there will be a security of rs. 640000 (Fixed). The brokerage amount is rs 1(Negotiable)."
1074,2 BHK Residential Apartment for rent in Palace Road,Palace Road,28 Gauri Kunj,33000,1400,2,2,"This is a spacious and thoughtfully designed 2 bhk apartment for rent in palace road, bangalore central. This 0-1 year old property is a part it is on the 1st floor of 5 floors and has a super built-Up area 1400 sq. Ft. The built-Up area is 1350 sq. Ft. And the carpet area is 1300 sq. Ft. This well designed apartment has 2 bathroom(S). This is a north-East facing apartment.
Additionally, this property has a study room.
You get this apartment semifurnished with 20 wardrobe(S), 1 modular kitchen, 3 geyser(S), 4 fan(S), 12 light(S), 1 stove(S), 1 water purifier(S), 1 curtain(S), 1 chimney(S) and 1 exhaust fan(S).
The society is equipped with features like lift(S), intercom facility, security/fire alarm, park, visitor parking and water storage. It also has a number of lifestyle amenities like park. 
You get uninterruptable power supply as the society has full power back up.
Situated in a gated society, you get one covered parking.
The apartment is available at a monthly rent of rs. 33000/-. There are also some additional costs like security of rs. 300000, a maintenance charge of rs. 2000 (Monthly), rs. 33000 as booking amount and rs 33000 as brokerage amount (Fixed).
 Additional details :

The society has dedicated security guards for every tower.
Partial power backup is available."
1075,4 Bedroom Independent House for rent in Shivaji Nagar,Shivaji Nagar,Total Windmills Of Your Mind,100000,4800,4,5,"Windmills of your mind villas is an upcoming housing project at whitefield hope farm junction in bangalore, being developed by total environment. Keeping in mind the needs of modern lifestyle of residents, the project provides various amenities. Windmills of your mind villas encompasses amenities such as maintenance staff, others, others, others, others . Atms, medical facilities, education institutions, and parks are within easy reach. The area is also well-Connected by bus and road network."
1076,2 BHK Residential Apartment for rent in Whitefield,Whitefield,Prestige Shantiniketan The Business Precinct,35000,1418,2,2,"A very good 2 bhk flat for rent in prestige shantiniketan the business precinct, whitefield, bangalore east. It is a superb property and offers an excellent view. The flat is semi-Furnished with multiple amenities and promises a comfortable stay. It has a super built-Up area of 1418. 0 sq. Ft. 1 covered parking."
1077,2 BHK Residential Apartment for rent in Amblipura,Amblipura,IDEB Springfields,46000,1320,2,2,"This is a beautiful 2 bhk flat for rent in amblipura, bangalore south. It is a part of ideb springfields and has a super built-Up area of 1320 sq. Ft.
This apartment with a single balcony is on the 10th floor of 13 floors. It is available to only families.
This apartment has 2 bathroom(s).
This is a north-East facing flat and has vitrified tiles. It is in a gated society.
The furnishings include 2 wardrobe(s), 2 bed(s), 1 modular kitchen, 3 fan(s) and 4 light(s).
This property has an expected monthly rental of rs. 46000/-. Some of the additional costs include security of rs. 300000. The brokerage amount is rs 46000(Fixed).
The booking amount is rs. 46000. 
The society has many features for the benefits of residents. Some of them include club house/community center, fitness centre/gym, intercom facility, lift(s), swimming pool, security personnel, park, rain water harvesting and water storage.
It also has amenities like club house/community center, fitness centre/gym, swimming pool, security personnel and park.
The society offers full power back up.
There is one covered parking."
1078,3 BHK Residential Apartment for rent in Sarjapur Road,Sarjapur Road,Purva skydale,50000,2100,3,3,Wonderful gated community at purva sky dale with luxurious lifestyle
1079,3 BHK Residential Apartment for rent in Palace Road,Palace Road,Narayan Palace Garden Apartments,40000,1850,3,3,"A very good 3 bhk flat for rent in narayan palace garden apartments, palace road, bangalore central. It is a superb property and offers an excellent view. The flat is semifurnished with multiple amenities and promises a comfortable stay. It is feng shui/vaastu compliant, which is considered to bring positive energy. It has a super built-Up area of 1850 sq. Ft. Other facilities include lift(s), park, intercom facility, security/fire alarm, visitor parking and water storage etc. It also has vitrified flooring. North-East facing. 1 covered parking."
1080,2 Bedroom Independent House for rent in Jeevan bima nagar,Jeevan bima nagar,,23000,1500,2,2,"P type lic colony for rental house corner house ready to occupy walkable distance school bus stop and metro station 2 kmts car parking inside and outside nice property..
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
 The house has muncipal supply supply."
1081,3 BHK Residential Apartment for rent in Frazer Town,Frazer Town,Samitha Enclave,37000,1500,3,3,"An excellent 3 bhk residential apartment for rent in frazer town, bangalore central. It is a very good property and has 2 balcony(s) which make the apartment more spacious. It is available for family. We are looking for rs. 37000. It is on the 2nd floor. 1 covered parking."
1082,1 BHK Independent Builder Floor for rent in Sector 2 HSR Layout,Sector 2 HSR Layout,,21000,650,1,1,"2 bhk property in hsr layout sector 1 near by 27 men chest workable to outer ring road modular kitchen ice house 24 hours cauvery water with two wheeler parking how should be very modern and very spacious cash for vastu compliant
 Additional details :

The property has a dedicated security guard.
It is under cctv surveillance.
There is also a lift to make the living more convenient specially for old age people
 The house has boring.
Partial power backup available.
The kitchen has been built with modular fittings.
Piped gas facility is available.
The property is facing a park."
1083,3 BHK Residential Apartment for rent in Kanakapura,Kanakapura,Mantri Serenity Bangalore,29000,2080,3,4,"3 bhk apartment for rent in kanakapura, bangalore south. It is an unfurnished apartment, located on the 20th floor of 22 floors. The apartment has 3 bedrooms 4 bathrooms 2 balcony(s). It has vitrified flooring. It is immediately available for family for rs. 29000 monthly. The rent is negotiable. It is a 1-5 year old property and also has 2 covered parking and 0 open parking. It has a super built-Up area of 2080 sq. Ft. It has lift(s), park, maintenance staff, visitor parking, water storage, intercom facility and security/fire alarm. The property amenities include piped-Gas and water purifie. Other features include fitness centre/gym, water softening plant, swimming pool, security personnel, club house/community center and shopping centr etc. There is also a provision for rain water harvesting. Tenant needs to make a security deposit of rs. 250000. No power cut."
1084,3 BHK Residential Apartment for rent in Kanakapura,Kanakapura,Mantri Serenity Bangalore,29000,2080,3,4,"3 bhk apartment for rent in kanakapura, bangalore south. It is an unfurnished apartment, located on the 20th floor of 22 floors. The apartment has 3 bedrooms 4 bathrooms 2 balcony(s). It has vitrified flooring. It is immediately available for family for rs. 29000 monthly. The rent is negotiable. It is a 1-5 year old property and also has 2 covered parking and 0 open parking. It has a super built-Up area of 2080 sq. Ft. It has lift(s), park, maintenance staff, visitor parking, water storage, intercom facility and security/fire alarm. The property amenities include piped-Gas and water purifie. Other features include fitness centre/gym, water softening plant, swimming pool, security personnel, club house/community center and shopping centr etc. There is also a provision for rain water harvesting. Tenant needs to make a security deposit of rs. 250000. No power cut."
1085,1 Bedroom Independent House for rent in Green Garden Layout,Green Garden Layout,Nestaway-132286,16000,4050,1,1,"1 bhk flat available for rent in green garden layout, bangalore east. It is located in , which is a very good society. The space is semi-Furnished, located on 4th floor of 7 floors. It has 1 bedrooms, 1 bathrooms. It is an ideal accommodation for single women and has a built up area of 450 sq. Yards. It includes 1 wardrobe(s), 1 fan(s) and 1 light(s). It is a 1-5 years. The flat is east facing. There is 1 covered parking. Available for a monthly rent of rs. 16000 and a security deposit of rs. 48000."
1086,1 Bedroom Independent House for rent in Green Garden Layout,Green Garden Layout,Nestaway-132281,16000,2700,1,1,"An excellent 1 bhk residential apartment for rent in green garden layout, bangalore east. It is a very good property. It is available for single women. We are looking for rs. 16000. It is on the 3rd floor. It is an east facing property. 1 covered parking."
1087,2 BHK Residential Apartment for rent in 7th Phase JP Nagar,7th Phase JP Nagar,Sumukha Elegance,25000,1005,2,2,"2 bhk apartment for rent in 7th phase jp nagar, bangalore south. It is a semifurnished apartment, located on the 4th floor of 4 floors. The apartment has 2 bedrooms 2 bathrooms 2 balcony(s). It is also equipped with 2 wardrobe(s), 1 modular kitchen, 2 geyser(s), 2 fan(s), 3 light(s), 1 curtain(s), 1 chimney(s) and 1 exhaust fan(s). It has vitrified flooring. It is immediately available for all for rs. 25000 monthly. It is a 1-5 year old property and also has 1 covered parking and 1 open parking. It has a super built-Up area of 1000 sq. Ft. It has lift(s), security/fire alarm and visitor parking. Tenant needs to make a security deposit of rs. 250000."
1088,4 Bedroom Independent House for rent in Cox Town,Cox Town,,80000,3000,4,4,This is a semi furnished bungalow in cox town. It comes with a 3000 sba sqft and it has a 24/7 hours of water supply and no/rare power cut. And it is in a gated society in cox town near charles campbell road .
1089,4 BHK Residential Apartment for rent in Doddakannelli,Doddakannelli,August Grand,110000,3045,4,6,"4 bhk flat available for rent in doddakannelli, bangalore east. It is located in august grand, which is a very good society. The space is furnished, located on 2nd floor of 18 floors. It has 4 bedrooms, 6 bathrooms and 3 balcony(s). The flat is built on the principles of feng-Shui/vaastu. It is an ideal accommodation for family and has a super built-Up area of 3045 sq. Ft. It includes 4 wardrobe(s), 3 bed(s), 1 modular kitchen, 6 fan(s) and 5 light(s) and has facilities like intercom facility, lift(s), maintenance staff, park, visitor parking, water storage and security/fire alarm etc. In addition, it has vitrified flooring. It is a 5-10 year old property. Since it is located in a gated society, you can be assured of security. The flat is east facing. There is 1 covered parking and 0 open parking. Full power back up. Available for a monthly rent of rs. 115000 and a security deposit of rs. 500000."
1090,3 BHK Independent Builder Floor for rent in BEL Road,BEL Road,independent house,70000,3500,3,4,"This is individual duplex home with decent locality in rmv 2 nd stage , furnished and wardrobes , kitchen cabinets fitted, car parking available, with open terrace."
1091,3 BHK Residential Apartment for rent in Basavangudi,Basavangudi,S M BUILDERS,50000,1800,3,3,"An excellent 3 bhk residential apartment for rent in basavangudi, bangalore south. It is a very good property and has 2 balcony(s) which make the apartment more spacious. In addition, it has pooja room and is available for family. We are looking for rs. 45000. It is on the 2nd floor. It is a north facing property and has lift(s), maintenance staff and water storage etc. 2 covered parking. Partial power back up."
1092,2 BHK Residential Apartment for rent in Shikaripalya,Shikaripalya,Aratt Firenza Electronic City,18000,1410,2,2,"This is a spacious and thoughtfully designed 2 bhk apartment for rent in shikaripalya, bangalore south. This 0-1 year old property is a part of aratt firenza electronic city. It is on the 5th floor of 14 floors and has a super built-Up area 1410 sq. Ft. The built-Up area is 1320 sq. Ft. And the carpet area is 1100 sq. Ft. This well designed apartment has 2 bathroom(S). This is an east facing apartment.
The apartment with vitrified flooring has 2 balconies.
Additionally, this property has a pooja room.
You get this apartment semifurnished with 2 wardrobe(S), 1 modular kitchen, 2 geyser(S), 4 fan(S), 13 light(S), 1 curtain(S), 1 chimney(S) and 1 exhaust fan(S).
This feng-Shui/vaastu compliant apartment has a water purifier.
This property faces a 30 feet wide road. The society is equipped with features like lift(S), park, visitor parking, water storage, intercom facility, security/fire alarm, water purifier, swimming pool, fitness centre/gym, water softening plant, club house/community center, shopping centre, rain water harvesting and waste disposal. It also has a number of lifestyle amenities like park, swimming pool, fitness centre/gym, water softening plant, club house/community center and shopping centre. 
You get uninterruptable power supply as the society has full power back up.
Situated in a gated society, you get one covered parking.
The apartment is available at a monthly rent of rs. 18000/-. There are also some additional costs like security of rs. 140000, a maintenance charge of rs. 4000 (Monthly), rs. 25000 as booking amount and rs 10000 as brokerage amount (Negotiable).
 Additional details :

The society has dedicated security guards for every tower.
Partial power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
Piped gas facility is available in the property."
1093,3 BHK Residential Apartment for rent in Richmond Town,Richmond Town,Ask Me,50000,1700,3,3,"Spacious 3bhk semi furnished flat available at banglore central richmond road, this brand new flat comes with basic amenities like 24hrs security, power back up, lift and covered car park. Society is very close to all daily need.


Call us to know more..."
1094,2 BHK Residential Apartment for rent in Malleshpalya,Malleshpalya,on request,21500,1250,2,2,"2 bhk apartment for rent in malleshpalya, bangalore east. It is a semi-Furnished apartment, located on the 2nd floor of 4 floors. The apartment has 2 bedrooms 2 bathrooms 1 balcony(s). It is also equipped with 2 wardrobe(s), 1 modular kitchen, 2 geyser(s), 4 fan(s), 14 light(s) and 1 exhaust fan(s). It is immediately available for all for rs. 21500 monthly. It is a 1-5 years and also has 1 covered parking. It has a built up area of 1250. 0 sq. Ft. There is a monthly maintenance cost of rs. 1500. Tenant needs to make a security deposit of rs. 100000."
1095,1 BHK Residential Apartment for rent in GM Palaya,GM Palaya,on Request,13500,650,1,1,"An excellent 1 bhk residential apartment for rent in gm palaya, bangalore east. It is a very good property and has 1 balcony(s) which make the apartment more spacious. It is available for all. We are looking for rs. 13500. It is on the 1st floor.
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
Partial power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
The apartment has borings water supply.
Piped gas facility is available in the property."
1096,3 Bedroom Independent House for rent in Brookefield,Brookefield,Sobha Lotus,45000,2800,3,4,"This is an excellent 3 bhk villa for rent in kundalahalli, bangalore north. 
It is a part of sobha loctus brookfield and is 1-5 year old. It has 4 bathroom(s). 
The built-Up area is 2800 sq. Ft. The carpet area is 2600 sq. Ft.
The apartment has 2 balconies.
In addition to the 3 bedroom(s), the property also has a pooja room and study room.
Situated on the 1st of 2 floors, it is a semifurnished apartment with 3 wardrobe(s),
 1 modular kitchen, 6 fan(s) and 20 light(s) with marble flooring."
1097,3 BHK Residential Apartment for rent in C V Raman Nagar,C V Raman Nagar,Deepicas Residency,29000,1350,3,2,"An excellent 3 bhk residential apartment for rent in c v raman nagar, bangalore north. It is a very good property and has 1 balcony(s) which make the apartment more spacious. It is available for all. We are looking for rs. 29000. It is on the 2nd floor. 0 open parking. 1 covered parking."
1098,3 BHK Residential Apartment for rent in Thanisandra Main Road,Thanisandra Main Road,Nikoo Homes-Bhartiya City,43000,2107,3,3,"An excellent 3 bhk residential apartment for rent in thanisandra main road, bangalore north. It is a very good property. It is available for all. We are looking for rs. 43000. It is on the 7th floor. 0 open parking. 1 covered parking."
1099,3 BHK Residential Apartment for rent in Immadihalli Main Road,Immadihalli Main Road,DSR Greenfields,30000,1546,3,3,"A beautiful 3 bhk flat for rent in immadihalli main road, bangalore north is available. This 1-5 year old property is on the 2nd floor of 4 floors. It has 3 bathroom(s).
Spacious and thoughtfully designed, it has a super built-Up area of select the built-Up area is 1546 sq. Ft. The carpet area is 1300 sq. Ft. This is a semifurnished apartment with 2 balconies.
The flat is in a gated society.
It comes with a 3 wardrobe(s), 5 fan(s) and 8 light(s).

There is one covered parking. The rent of this property is rs. 30000/-. Other than rent, there will be a security of 6 times the rent."
1100,4 BHK Residential Apartment for rent in WHITEFIELD INDUSTRIAL AREA,WHITEFIELD INDUSTRIAL AREA,FIVE SUMMITS ADDRESS,80000,3100,4,3,"4 bhk apartment for rent in whitefield industrial area, bangalore north. It is a semifurnished apartment, located on the 7th floor of 11 floors. The apartment has 4 bedrooms 3 bathrooms 2 balcony(s). It is also equipped with 4 wardrobe(s), 5 fan(s) and 7 light(s). It is immediately available for single men and family for rs. 80000 monthly. It is a 1-5 year old property and also has 2 covered parking and 0 open parking. It has a built up area of 3100 sq. Ft. Tenant needs to pay 6 months rent as the security deposit."
1101,3 BHK Residential Apartment for rent in Tejaswini Nagar,Tejaswini Nagar,Radiant Redwood,15400,1300,3,3,"Zero brokerage fee.
This is my 2bhk flat for rent in radiant redwood,koppa rd, nobel residency, phase 2, tejaswini nagar,bangalore. Its a semi furnished flat with wardrobes, modular kitchen, chimney,lights,fans,wardrobes.The amenities like reserved parking, swimming pool,gym,lift.Its a east facing flat with vitrified flooring.It has a separate dinning space also available to use. It is immediately available to occupy this flat.

 

Landmarks:- Megha play school and day care."
1102,2 BHK Residential Apartment for rent in Halanayakanahalli,Halanayakanahalli,Kumari Brundavana,18500,1000,2,2,"Zero brokerage fee.
This is my amazing 2bhk flat for rent in rent in kumari brundavana,junnasandra,halanayakanahalli,bangalore. Its a semi furnished with modular kitchen,geyser,wardrobes,bulbs,fans.The amenities like 24 hours power facility,24 hours water facility,gym,lift.Its a west facing flat with vitrified flooring flat.It is immediately ready to occupy this flat.

Land mark : Yallama temple."
1103,2 BHK Independent Builder Floor for rent in J K Homes Bulk,J K Homes Bulk,Belatur,16800,1000,2,2,"Zero brokerage fee.
This is my 2bhk flat for rent in j k homes ,belathur,bangalore.Its a semi furnished with kitchen,geyser,wardrobes.Its amenities like 24/7 power back up, 24/7 water facility,reserved parking,lift.Its a east facing flat with vitrified flooring flat.It is immediately to occupy this flat.

Land mark: - Near saroj tulasi apartment."
1104,3 BHK Residential Apartment for rent in Srinivaspura,Srinivaspura,Aarush Aarya Apartment,19500,1700,3,2,"Zero brokerage fee.
We have a 3bhk flat for rent in aarush aarya apartment,next to vv convention hall, dr.Vishnuvardhan rd,channasandra,uttarahalli, bengaluru. This flat with a semi furnished flat with modular kitchen,geyser,beds,microwave.The amenities are park,swimming pool,lift,gym,reserved parking, visitor parking,24 hours water supply.It has separate dinning space also available in this flat. Its a north facing flat. It is immediately available to occupy this flat.

Note:- This flat is only available for families.

Land mark: Rns college."
1105,1 BHK Independent Builder Floor for rent in H A L,H A L,Builder House,13000,550,1,1,1 bhk house good location rent 13000 advance 70000 old airport road hal near manipal hospital leela palace hotel behind kodihalli
1106,3 BHK Residential Apartment for rent in Kadugodi,Kadugodi,SBR Horizon,23400,1233,3,2,"A beautiful 3 bhk flat for rent in kadugodi, bangalore east is available. This 0-1 year old property is on the 3rd floor of 9 floors. It has 2 bathroom(s).
Spacious and thoughtfully designed, it has a super built-Up area of 1233 sq. Ft. This is a semifurnished apartment with a single balcony.
The flat is in a gated society.
It comes with a 3 wardrobe(s), 1 modular kitchen, 2 geyser(s), 4 fan(s), 4 light(s), 1 water purifier(s), 1 curtain(s), 1 chimney(s) and 1 exhaust fan(s).
 With select flooring.
The society has features like club house/community center, fitness centre/gym, lift(s), park, visitor parking, water storage, security/fire alarm, intercom facility, internet/wi-Fi connectivity, water purifier, security personnel and swimming pool. It is also equipped with amenities like club house/community center, fitness centre/gym, park, security personnel, water softening plant, shopping centre and swimming pool. With full power back up, the society has other features like water softening plant, shopping centre and waste disposal. There is one covered parking. The rent of this property is rs. 23400/-. (Price negotiable) other than rent, there will be a security of rs. 80000 (Fixed)."
1107,3 BHK Residential Apartment for rent in Indiranagar,Indiranagar,LDR Apartment,70000,2000,3,3,"Semifurnished beautiful duplex flat for rent in indiranagar prime location, north facing, modular kitchen excellent wood work in all the rooms, close to 100ft road and metro station, call for inspection."
1108,3 BHK Residential Apartment for rent in Thirupalya,Thirupalya,Gm Infinite Ecity,18000,1360,3,2,"Zero brokerage fee. 
This is a superb 3bhk flat for rent in gm infinite,thirupalya road,electronic city,bangalore.This is a semi-Furnished flat with modular kitchen,wardrobes,bulbs,wardobes.The amenities like 24hrs water facility,swimming pool,gym,lift,reserved parking,park,24 hours water supply,24 hours power supply,basket ball court,tennis court.Its a east facing flat with vitrified flooring.It has a seperate dinning space also available to use in this flat it is immediately available to occupy this flat.

Note:- This flat will be available only for families.

Landmark:- Vbf concrete blocks."
1109,3 BHK Residential Apartment for rent in Whitefield,Whitefield,The Five Summits Address,56000,2493,3,3,"3 bhk flat available for rent in whitefield, bangalore east. It is located in the five summits address, which is a very good society. The space is furnished, located on 7th floor of 14 floors. It has 3 bedrooms, 3 bathrooms and 2 balcony(S). The flat is built on the principles of feng-Shui/vaastu. It is an ideal accommodation for family and has a super built-Up area of 2200 sq. Ft. It includes 3 wardrobe(S), 3 bed(S), 1 modular kitchen, 1 fridge(S), 3 ac(S), 3 geyser(S), 3 tv(S), 1 sofa(S), 1 dining table(S), 6 fan(S), 6 light(S), 1 stove(S), 1 washing machine(S), 1 water purifier(S), 1 dining..

For further details and inspection contact"
1110,2 BHK Residential Apartment for rent in Bansawadi Main Road,Bansawadi Main Road,MS Golden Grance Apartment,23000,1200,2,2,"A very good 2 bhk flat for rent in ms golden grance apartment, bansawadi main road, bangalore north. It is a superb property and offers an excellent view. The flat is semifurnished with multiple amenities and promises a comfortable stay. It has a built up area of 1200 sq. Ft. 1 covered parking."
1111,2 BHK Residential Apartment for rent in Domlur Layout,Domlur Layout,on Request,43000,1200,2,2,"An excellent 2 bhk residential apartment for rent in domlur layout, bangalore east. It is a very good property and has 2 balcony(S) which make the apartment more spacious. It is available for all. We are looking for rs. 43000. It is on the 2nd floor. 1 open parking. 1 covered parking.
 Additional details :

The society has dedicated security guards for every tower.
There is also a separate washroom for domestic help.
Partial power backup is available.
Daily needs shopping could be done within the society premises to make the stay convinent.
The apartment has borings  water supply.
Piped gas facility is available in the property."
1112,3 BHK Residential Apartment for rent in Banashankari 2nd Stage Near Bda Complex,Banashankari 2nd Stage Near Bda Complex,Gangotri Apartments,40000,2400,3,3,"A very good property located in a very good location near to schools, colleges, temples, universities,hospitals and so on . A very good investment. Very near to bda complexes, ring road. Near to metro stations also. A very good location"
1113,2 BHK Residential Apartment for rent in 2nd Phase JP Nagar,2nd Phase JP Nagar,Anugraha Residency,26000,1200,2,2,Hippopotas located in jp nagar 2nd phase 1 of 3 prime location residential area as per vastu east facing apartment live 24/7 security cc camera lift car parking 2 wheeler park in cauvery water bore water facilities also available 1 rs 10 very very interior ventilation also very good one of the prime location very close to metro station bank atm fruits or vegetable shop grocery shop it's all available on of the prime residential area the best area of jp nagar 2nd phase close to police station rangashankara
1114,2 Bedroom Independent House for rent in JP Nagar,JP Nagar,,17000,9000,2,2,"An excellent 2 bhk residential apartment for rent in jp nagar, bangalore south. It is a very good property and has 1 balcony(S) which make the apartment more spacious. It is available for single women. We are looking for rs. 17000. It is on the ground floor. It is an east facing property. 1 covered parking.
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
 The house has boring supply.
The kitchen has been built with modular fittings.
This is a corner house property."
1115,2 Bedroom Independent House for rent in JP Nagar,JP Nagar,,17000,9000,2,2,"An excellent 2 bhk residential apartment for rent in jp nagar, bangalore south. It is a very good property and has 1 balcony(S) which make the apartment more spacious. It is available for single women. We are looking for rs. 17000. It is on the ground floor. It is an east facing property. 1 covered parking.
 Additional details :

Having a provision to park 1 cars.
You can easily park your car inside the compound
 The house has boring supply.
The kitchen has been built with modular fittings.
This is a corner house property."
1116,3 BHK Residential Apartment for rent in Immadihalli Main Road,Immadihalli Main Road,DSR Greenfields,30000,1546,3,3,"A 3 bhk flat for rent in immadihalli main road, bangalore north is available. It is a spacious and thoughtfully designed apartment. This apartment with two balconies is a part of dsr greenfields.
This apartment has 3 bathroom(s).
 The built-Up area is 1546 sq. Ft. The carpet area is 1200 sq. Ft.
 It is on the 2nd of 4 floors and is available to only families.
It is a semifurnished apartment with 3 wardrobe(s), 4 fan(s) and 6 light(s).

It is a 1-5 year old property in a gated society.
There is one covered parking.
The expected monthly rental of this apartment is rs. 30000/-. Some of the additional costs includesecurity of 6 times the rent."
1117,3 BHK Residential Apartment for rent in Uttarahalli,Uttarahalli,Iskcon Gokulam Apartments,23400,1740,3,3,"This is a spacious and thoughtfully designed 3 bhk apartment for rent in uttarahalli, bangalore south. This 0-1 year old property is a part of iskcon gokulam apartments. It is on the 3rd floor of 13 floors. The built-Up area is 1740 sq. Ft. This well designed apartment has 3 bathroom(s).
The apartment has 3 balconies.

You get this apartment semifurnished with 3 wardrobe(s), 1 modular kitchen, 3 geyser(s), 4 fan(s), 5 light(s), 1 water purifier(s), 1 curtain(s), 1 chimney(s) and 1 exhaust fan(s).
This feng-Shui/vaastu compliant apartment has a internet/wi-Fi connectivity, water purifier and piped-Gas.
The society is equipped with features like lift(s), park, visitor parking, water storage, security/fire alarm, intercom facility, internet/wi-Fi connectivity, water purifier, piped-Gas, club house/community center, shopping centre, water softening plant, security personnel, swimming pool, fitness centre/gym, rain water harvesting and waste disposal. It also has a number of lifestyle amenities like park, club house/community center, shopping centre, water softening plant, security personnel, swimming pool and fitness centre/gym. 
You get uninterruptable power supply as the society has full power back up.
Situated in a gated society, you get one covered parking.
The apartment is available at a monthly rent of rs. 23400/-. There are also some additional costs like security of rs. 200000."
